epoch_h,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,hyper_param,hp_update
0,2.302218437194824,0.08,2.3025217056274414,0.18,2.30222225189209,0.12,0,0
1,2.2916452884674072,0.24,2.305147647857666,0.06,2.305493116378784,0.04,"tensor([-4.0332, -3.9444, -4.0577,  ..., -4.0986, -3.9007, -3.9021],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
2,2.281585931777954,0.24,2.307960033416748,0.06,2.3089661598205566,0.04,"tensor([-3.9792, -4.0001, -4.0122,  ..., -4.1643, -3.8315, -3.8215],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
3,2.2704291343688965,0.24,2.3114137649536133,0.06,2.3133363723754883,0.04,"tensor([-4.0370, -3.9388, -4.0758,  ..., -4.2150, -3.7779, -3.7476],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
4,2.252333164215088,0.24,2.3174471855163574,0.06,2.32106351852417,0.04,"tensor([-4.0469, -3.8880, -4.1206,  ..., -4.2539, -3.7356, -3.6758],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
5,2.20591139793396,0.24,2.3402750492095947,0.06,2.3482108116149902,0.04,"tensor([-4.0642, -3.8025, -4.2041,  ..., -4.2711, -3.7062, -3.5979],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
6,2.139153242111206,0.24,2.5027449131011963,0.06,2.523824691772461,0.04,"tensor([-4.1549, -3.7042, -4.3018,  ..., -4.2163, -3.6982, -3.5061],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
7,2.1298093795776367,0.24,2.435434579849243,0.06,2.4739904403686523,0.04,"tensor([-4.2258, -3.6408, -4.3558,  ..., -4.1800, -3.6908, -3.4424],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
8,2.1367697715759277,0.24,2.3868887424468994,0.06,2.4388091564178467,0.04,"tensor([-4.2836, -3.5985, -4.3888,  ..., -4.1606, -3.6833, -3.3931],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
9,2.1074764728546143,0.24,2.456218957901001,0.06,2.5378904342651367,0.04,"tensor([-4.3701, -3.5251, -4.4471,  ..., -4.1174, -3.6813, -3.3330],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
10,2.095099925994873,0.24,2.4722869396209717,0.06,2.5688183307647705,0.04,"tensor([-4.4413, -3.4570, -4.5002,  ..., -4.0757, -3.6800, -3.2767],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
11,2.0869688987731934,0.24,2.427873134613037,0.06,2.524082899093628,0.04,"tensor([-4.4905, -3.4096, -4.5337,  ..., -4.0495, -3.6770, -3.2319],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
12,2.0498838424682617,0.24,2.5091419219970703,0.06,2.624413251876831,0.04,"tensor([-4.5609, -3.3409, -4.5838,  ..., -4.0075, -3.6755, -3.1799],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
13,2.0345802307128906,0.24,2.511817216873169,0.06,2.6344799995422363,0.04,"tensor([-4.6182, -3.2827, -4.6230,  ..., -3.9684, -3.6731, -3.1320],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
14,1.9923694133758545,0.24,2.563993215560913,0.06,2.702853202819824,0.04,"tensor([-4.6709, -3.2282, -4.6594,  ..., -3.9275, -3.6703, -3.0860],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
15,1.9657528400421143,0.24,2.622098684310913,0.06,2.779202461242676,0.04,"tensor([-4.7197, -3.1772, -4.6932,  ..., -3.8809, -3.6676, -3.0411],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
16,1.9183263778686523,0.26,2.6248044967651367,0.06,2.7969231605529785,0.04,"tensor([-4.7517, -3.1476, -4.7088,  ..., -3.8351, -3.6652, -3.0024],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
17,1.8942017555236816,0.3,2.7246015071868896,0.06,2.9196362495422363,0.06,"tensor([-4.7917, -3.1102, -4.7281,  ..., -3.7849, -3.6637, -2.9632],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
18,1.8514857292175293,0.36,2.756608247756958,0.08,2.9770519733428955,0.08,"tensor([-4.8316, -3.0762, -4.7437,  ..., -3.7353, -3.6630, -2.9282],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
19,1.7876691818237305,0.36,2.897108793258667,0.08,3.140287160873413,0.1,"tensor([-4.8954, -3.0116, -4.7844,  ..., -3.6856, -3.6631, -2.8949],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
20,1.791996717453003,0.34,2.9752120971679688,0.08,3.2302401065826416,0.1,"tensor([-4.9634, -2.9353, -4.8442,  ..., -3.6372, -3.6639, -2.8645],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
21,1.732366919517517,0.38,2.980710029602051,0.08,3.229469060897827,0.1,"tensor([-5.0182, -2.8674, -4.8993,  ..., -3.5940, -3.6656, -2.8390],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
